mrt,latitude,longitude,line
STADIUM MRT STATION,1.302840629633224,103.8753503351786,CC
BUGIS MRT STATION,1.3004650763152503,103.85570641401658,EW
SOMERSET MRT STATION,1.3002600550654384,103.83907516234385,NS
ORCHARD MRT STATION,1.3039810124368771,103.83224145206746,NS
JALAN BESAR MRT STATION,1.3054036422232524,103.85547701633922,DT
BAYFRONT MRT STATION,1.2818737884915377,103.8590797651323,DT
SENGKANG MRT STATION,1.3916946260989878,103.8954846941603,NE
BUKIT BROWN MRT STATION,1.3337288823214424,103.83068955013653,CC
MOUNTBATTEN MRT STATION,1.3062019048312363,103.8825280808098,CC
KOVAN MRT STATION,1.3601791711791509,103.8850648563362,NE
FORT CANNING MRT STATION,1.2924789279174818,103.84432826960943,DT
FARRER ROAD MRT STATION,1.3175106118957656,103.80758610574624,CC
DOWNTOWN MRT STATION,1.279446190378722,103.85284044403936,DT
ESPLANADE MRT STATION,1.2933216076112375,103.8555041055266,CC
NICOLL HIGHWAY MRT STATION,1.299766835267978,103.86363701849602,CC
CALDECOTT MRT STATION,1.3376745080443386,103.8395298207638,CC
MARINA BAY MRT STATION,1.2764273547506024,103.85459777754323,NS
LABRADOR PARK MRT STATION,1.2723327315964736,103.80293962041964,CC
CHINATOWN MRT STATION,1.2843595782329786,103.84342677594374,NE
TAN KAH KEE MRT STATION,1.3258832089224446,103.80732220761212,DT
TIONG BAHRU MRT STATION,1.286193393,103.82701943092376,EW
HILLVIEW MRT STATION,1.3623448685278603,103.76741825445647,DT
KING ALBERT PARK MRT STATION,1.3356651207597656,103.78380665887346,DT
MATTAR MRT STATION,1.3268767147126137,103.88324750917997,DT
UBI MRT STATION,1.329956825703842,103.8992525249772,DT
BEAUTY WORLD MRT STATION,1.341223176,103.77579428529484,DT
KAKI BUKIT MRT STATION,1.334967301564287,103.90845973446444,DT
BEDOK NORTH MRT STATION,1.3347421167583993,103.91797832977343,DT
DHOBY GHAUT MRT STATION,1.2987013066295312,103.84611515467624,NS
WOODLEIGH MRT STATION,1.339190045525152,103.87081830937498,NE
NOVENA MRT STATION,1.3204407908478988,103.84382561881532,NS
SERANGOON MRT STATION,1.3497078753792613,103.87357484685836,NE
BEDOK RESERVOIR MRT STATION,1.336607829810492,103.93223462362464,DT
MARINA SOUTH PIER MRT STATION,1.2713367113291696,103.86285976963735,NS
FARRER PARK MRT STATION,1.3123598402121364,103.8541771415314,NE
BARTLEY MRT STATION,1.342828337737579,103.87975890622788,CC
DAKOTA MRT STATION,1.3083826392669968,103.88866260393172,CC
PASIR PANJANG MRT STATION,1.2762135226853348,103.79135031315435,CC
CLARKE QUAY MRT STATION,1.2883860242011411,103.84655520929512,NE
